Lake,species,d15N,TL,For_area,Agr_area,pH,POM_NC_ratio,PC1,PC2,d2H
Saaskjarvi,Roach_large,12.3108125963993,2.75833513482332,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-139.75869947162
Saaskjarvi,Roach_large,12.3300055911415,2.76398013327691,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-127.449787380706
Saaskjarvi,Roach_large,13.5670429404884,3.12781464779071,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-128.233689151722
Saaskjarvi,Roach_small,10.8396073259856,2.32562770234871,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-150.853547941761
Saaskjarvi,Roach_small,11.4919781504071,2.51750147423737,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-149.771626307039
Saaskjarvi,Roach_small,11.5031181124353,2.52077793365745,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-143.879831530238
Saaskjarvi,Roach_small,11.614184557716,2.5534445352106,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-151.75551712391
Saaskjarvi,Roach_small,12.6923943653537,2.87056506686874,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-144.315464824894
Saaskjarvi,Ruffe,14.0798752521526,3.27864768063313,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-129.289311490265
Saaskjarvi,Ruffe,13.844930670306,3.20954633303118,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-125.039487623418
Saaskjarvi,Ruffe,14.2527936971324,3.32950604680365,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-124.300901335064
Saaskjarvi,Ruffe,13.8681440689717,3.21637380322697,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-127.447924512208
Saaskjarvi,Ruffe,13.8259313943953,3.20395831070451,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-129.168537054358
Saaskjarvi,Smelt,15.6841923418892,3.75050564820272,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-138.661156160906
Saaskjarvi,Smelt,15.4911806617137,3.69373750697461,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-136.913032032638
Saaskjarvi,Smelt,15.6897116400282,3.75212897118476,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-138.785521599889
Saaskjarvi,Smelt,17.0024044925591,4.13821510428208,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-130.046907846026
Saaskjarvi,Smelt,15.7879900481368,3.78103438533435,55.0902913,33.21331359,7.65,0.153593609687721,3.49133584294132,-1.22892517877628,-139.923259918398
Suuri-Vahvanen,Asellus_littoral,1.51536535055703,1.90411095398736,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-122.967169498472
Suuri-Vahvanen,Asellus_littoral,0.333756364417225,1.55657889924036,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-114.423141857646
Suuri-Vahvanen,Bleak,6.65349672611702,3.41532606444618,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-122.493010019562
Suuri-Vahvanen,Bleak,6.69866625311374,3.42861121944522,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-124.828288768505
Suuri-Vahvanen,Bleak,6.97537133126844,3.50999506596131,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-124.632357291499
Suuri-Vahvanen,Bleak,6.48146810808216,3.36472941208299,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-122.83469021467
Suuri-Vahvanen,Bleak,6.89533874828729,3.48645607096685,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-123.620449845865
Suuri-Vahvanen,Bleak,6.48422205203086,3.36553939559731,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-127.799487326088
Suuri-Vahvanen,Bulk_BMI_littoral,2.89042483375536,2.30854021375158,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-113.405023258231
Suuri-Vahvanen,Bulk_BMI_littoral,2.39760377438032,2.16359284334715,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-117.205197532916
Suuri-Vahvanen,Bulk_BMI_profundal,7.16920932450294,3.56700624044204,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-112.512583547961
Suuri-Vahvanen,Bulk_ZPL,3.5552132,2.50406620382353,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-145.436120812808
Suuri-Vahvanen,Bulk_ZPL,1.445831678,1.88365987382353,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-142.045491100916
Suuri-Vahvanen,Chironomid_littoral,0.649949066597238,1.64957675282272,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-122.970253666814
Suuri-Vahvanen,Chironomid_Profundal,6.56385807162009,3.38896175430003,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-99.8482964682555
Suuri-Vahvanen,Cladocera,1.841388107,2,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-144.114371395764
Suuri-Vahvanen,Perch_large,9.56903516789467,4.27283737085137,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-109.866122791585
Suuri-Vahvanen,Perch_large,9.35411897938264,4.20962672717137,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-110.827404588492
Suuri-Vahvanen,Perch_large,7.85965338187635,3.77007802202246,72.74034866,0.350957943,7.04,0.0802371807169749,-1.43904639434488,1.97167945763386,-115.822843599383
